Points:0,Points:1,Points:2
4.34503E-07,0,7.36763E-06
0.00245895,0,-0.000131147
0.0049774,0,-0.00027331
0.00755763,0,-0.000419237
0.0102007,0,-0.000569004
0.0129086,0,-0.000722726
0.0156825,0,-0.000880496
0.0185244,0,-0.00104243
0.0214359,0,-0.00120863
0.0244187,0,-0.00137921
0.0274749,0,-0.0015543
0.0306062,0,-0.00173401
0.0338142,0,-0.00191843
0.0371012,0,-0.00210771
0.0404684,0,-0.00230192
0.0439188,0,-0.00250124
0.0474538,0,-0.00270576
0.0510756,0,-0.00291561
0.0547863,0,-0.00313091
0.0585888,0,-0.00335182
0.0624849,0,-0.00357846
0.0664768,0,-0.00381093
0.070567,0,-0.00404938
0.0747581,0,-0.00429395
0.0790519,0,-0.00454473
0.0834522,0,-0.00480191
0.0879607,0,-0.00506557
0.0925805,0,-0.00533586
0.0973144,0,-0.00561292
0.102165,0,-0.00589682
0.107135,0,-0.00618773
0.112227,0,-0.00648574
0.117445,0,-0.00679097
0.122792,0,-0.00710354
0.12827,0,-0.0074235
0.133884,0,-0.00775102
0.139636,0,-0.00808618
0.145531,0,-0.00842902
0.15157,0,-0.00877959
0.157757,0,-0.00913793
0.164097,0,-0.00950412
0.170593,0,-0.0098782
0.17725,0,-0.0102602
0.184069,0,-0.01065
0.191056,0,-0.0110477
0.198215,0,-0.0114531
0.205549,0,-0.0118662
0.213062,0,-0.0122869
0.22076,0,-0.012715
0.228645,0,-0.0131504
0.236724,0,-0.0135928
0.244999,0,-0.0140421
0.253476,0,-0.0144977
0.262158,0,-0.0149596
0.27105,0,-0.015427
0.280157,0,-0.0158998
0.289483,0,-0.0163771
0.299034,0,-0.0168587
0.308814,0,-0.0173436
0.318828,0,-0.0178314
0.32908,0,-0.0183218
0.339575,0,-0.0188144
0.350319,0,-0.0193089
0.361316,0,-0.0198051
0.372572,0,-0.0203024
0.384091,0,-0.0208006
0.39588,0,-0.0212993
0.407943,0,-0.0217981
0.420285,0,-0.0222964
0.432911,0,-0.0227939
0.445828,0,-0.0232902
0.459041,0,-0.0237847
0.472461,0,-0.0242736
0.485965,0,-0.0247522
0.499552,0,-0.0252204
0.513222,0,-0.0256782
0.526972,0,-0.0261256
0.540802,0,-0.0265623
0.554711,0,-0.0269885
0.568697,0,-0.0274042
0.582762,0,-0.0278093
0.596901,0,-0.0282038
0.611117,0,-0.0285878
0.625407,0,-0.0289612
0.639772,0,-0.0293242
0.654212,0,-0.0296769
0.668722,0,-0.0300191
0.683303,0,-0.0303509
0.697958,0,-0.0306726
0.712683,0,-0.0309842
0.727477,0,-0.0312857
0.74234,0,-0.0315772
0.757269,0,-0.0318588
0.772264,0,-0.0321307
0.787326,0,-0.0323931
0.802452,0,-0.0326459
0.817643,0,-0.0328894
0.832897,0,-0.0331238
0.848216,0,-0.0333492
0.863599,0,-0.0335658
0.879043,0,-0.0337738
0.894547,0,-0.0339733
0.910112,0,-0.0341645
0.925738,0,-0.0343478
0.941421,0,-0.0345232
0.957164,0,-0.034691
0.972964,0,-0.0348515
0.988823,0,-0.0350048
1.00474,0,-0.0351513
1.02071,0,-0.0352912
1.03673,0,-0.0354247
1.05281,0,-0.0355521
1.06895,0,-0.0356738
1.08514,0,-0.0357899
1.10139,0,-0.0359009
1.11768,0,-0.0360069
1.13403,0,-0.0361084
1.15044,0,-0.0362056
1.16689,0,-0.0362988
1.1834,0,-0.0363884
1.19996,0,-0.0364748
1.21657,0,-0.0365582
1.23324,0,-0.036639
1.24995,0,-0.0367177
1.26672,0,-0.0367945
1.28353,0,-0.0368699
1.3004,0,-0.0369441
1.31732,0,-0.0370177
1.33429,0,-0.037091
1.35132,0,-0.0371645
1.36839,0,-0.0372384
