Points:0,Points:1,Points:2
4.34503E-07,0,7.36763E-06
0.00244867,0,0.000295229
0.00495865,0,0.000590646
0.00752989,0,0.000893578
0.0101638,0,0.0012042
0.0128623,0,0.00152276
0.0156267,0,0.00184943
0.0184591,0,0.00218444
0.0213605,0,0.00252796
0.024333,0,0.00288024
0.0273784,0,0.0032415
0.0304986,0,0.00361198
0.0336956,0,0.00399191
0.0369709,0,0.0043815
0.0403269,0,0.00478104
0.0437653,0,0.00519075
0.0744995,0,0.00886524
0.0787788,0,0.00937818
0.0831644,0,0.00990406
0.0876578,0,0.0104431
0.092262,0,0.0109955
0.0969795,0,0.0115617
0.101814,0,0.0121419
0.106767,0,0.0127364
0.111843,0,0.0133455
0.113915,0,0.0135942
0.117043,0,0.0139695
0.122373,0,0.0146088
0.127833,0,0.0152635
0.133428,0,0.015934
0.139161,0,0.0166205
0.145036,0,0.0173234
0.151055,0,0.0180429
0.157223,0,0.0187793
0.163541,0,0.0195326
0.170015,0,0.0203032
0.176649,0,0.0210914
0.183445,0,0.0218974
0.190408,0,0.0227213
0.197541,0,0.0235632
0.204849,0,0.0244233
0.212335,0,0.0253018
0.220004,0,0.0261986
0.227861,0,0.0271139
0.235908,0,0.0280476
0.244151,0,0.0289998
0.252594,0,0.0299703
0.26124,0,0.0309589
0.270095,0,0.0319654
0.279162,0,0.0329896
0.288448,0,0.0340313
0.297955,0,0.0350899
0.307688,0,0.036165
0.317652,0,0.037256
0.32785,0,0.0383628
0.338288,0,0.0394852
0.348971,0,0.0406232
0.359903,0,0.0417767
0.371089,0,0.0429453
0.382534,0,0.0441291
0.394242,0,0.0453277
0.406219,0,0.046541
0.418467,0,0.0477686
0.430995,0,0.0490105
0.443806,0,0.0502663
0.456905,0,0.0515356
0.470207,0,0.0528097
0.483599,0,0.0540774
0.497077,0,0.0553383
0.510641,0,0.0565922
0.524292,0,0.0578392
0.538025,0,0.0590788
0.551841,0,0.060311
0.56574,0,0.0615357
0.579719,0,0.0627527
0.593779,0,0.063962
0.607918,0,0.0651635
0.622137,0,0.0663572
0.636433,0,0.0675428
0.650805,0,0.0687204
0.665253,0,0.0698899
0.679775,0,0.0710512
0.694371,0,0.0722042
0.709039,0,0.0733491
0.723778,0,0.0744857
0.738588,0,0.075614
0.753468,0,0.0767341
0.768416,0,0.077846
0.783431,0,0.0789496
0.798512,0,0.0800451
0.813663,0,0.0811327
0.828879,0,0.0822123
0.844156,0,0.0832838
0.859498,0,0.0843474
0.874901,0,0.0854032
0.890365,0,0.0864514
0.905892,0,0.0874921
0.921479,0,0.0885254
0.937123,0,0.0895513
0.952825,0,0.09057
0.968584,0,0.0915817
0.9844,0,0.0925865
1.00027,0,0.0935846
1.01619,0,0.0945763
1.03217,0,0.0955616
1.0482,0,0.0965408
1.06429,0,0.0975142
1.08043,0,0.0984819
1.09661,0,0.0994443
1.11285,0,0.100401
1.12914,0,0.101353
1.14548,0,0.102301
1.16186,0,0.103244
1.1783,0,0.104183
1.19478,0,0.105118
1.21131,0,0.10605
1.22788,0,0.106978
1.24451,0,0.107903
1.26118,0,0.108826
1.27789,0,0.109746
1.29465,0,0.110665
1.31145,0,0.111582
1.3283,0,0.112497
1.34519,0,0.113412
1.36213,0,0.114326
1.37911,0,0.11524
1.39614,0,0.116155
1.41321,0,0.11707
1.43032,0,0.117986
1.44748,0,0.118903
1.46468,0,0.119823
1.48193,0,0.120744
1.49922,0,0.121669
1.51655,0,0.122597
1.53393,0,0.123528
1.55161,0,0.124477
1.56943,0,0.125435
1.5874,0,0.126404
1.60552,0,0.127382
1.6238,0,0.128371
1.64224,0,0.12937
1.66084,0,0.13038
1.6796,0,0.1314
1.69852,0,0.132431
1.71761,0,0.133473
1.73686,0,0.134526
1.75628,0,0.13559
1.77586,0,0.136665
1.79562,0,0.137751
1.81555,0,0.138849
1.83566,0,0.139958
1.85594,0,0.141079
1.87639,0,0.142212
1.89703,0,0.143357
1.91785,0,0.144513
