Points:0,Points:1,Points:2
4.34492E-07,0,7.36763E-06
0.00245895,1.18702E-16,-0.000131147
0.00246081,0.000214715,8.38022E-05
0.0049774,2.40451E-16,-0.00027331
0.00498198,0.000435022,0.000162144
0.00755763,3.65352E-16,-0.000419237
0.00756529,0.000661055,0.000242435
0.0102007,4.93465E-16,-0.000569004
0.0102119,0.000892931,0.000324714
0.0129086,6.24885E-16,-0.000722726
0.0129237,0.00113082,0.000409037
0.0156825,7.5969E-16,-0.000880496
0.0157019,0.00137485,0.000495445
0.0185244,8.97971E-16,-0.00104243
0.0185484,0.0016252,0.000584
0.0214359,1.03982E-15,-0.00120863
0.0214653,0.00188206,0.000674764
0.0244187,1.18533E-15,-0.00137921
0.024454,0.00214557,0.000767783
0.0274749,1.3346E-15,-0.0015543
0.0275164,0.0024159,0.000863115
0.0295778,0.00209333,-0.000619506
0.0306062,1.48773E-15,-0.00173401
0.0306538,0.0026932,0.000960807
0.032704,0.00223753,-0.000788477
0.0338142,1.64479E-15,-0.00191843
0.0338686,0.00297767,0.00106093
0.0351917,0.00203391,-0.00123827
0.0371012,1.8059E-15,-0.00210771
0.0371625,0.00326948,0.00116353
0.0384904,0.00254487,-0.00104011
0.0404684,1.97114E-15,-0.00230192
0.0405378,0.00356883,0.0012687
0.0422498,0.00267773,-0.00127153
0.0439188,2.14064E-15,-0.00250124
0.0439963,0.0038759,0.00137647
0.0457538,0.00284595,-0.00143581
0.0474538,2.31448E-15,-0.00270576
0.0475404,0.0041909,0.00148694
0.0493187,0.00291147,-0.00169951
0.0510756,2.49278E-15,-0.00291561
0.0511718,0.00451398,0.00160015
0.0529953,0.00303314,-0.00191392
0.0547863,2.67562E-15,-0.00313091
0.054893,0.00484538,0.00171617
0.0567392,0.00309431,-0.00217841
0.0585888,2.86316E-15,-0.00335182
0.0587061,0.00518527,0.00183509
0.060582,0.00318797,-0.00241863
0.0624849,3.05549E-15,-0.00357846
0.0626135,0.00553387,0.00195696
0.0645225,0.00328125,-0.00266265
0.0664768,3.2527E-15,-0.00381093
0.0666172,0.00589134,0.00208185
0.0685615,0.00337461,-0.00291064
0.070567,3.45492E-15,-0.00404938
0.0707456,0.00575125,-0.000286009
0.0707202,0.00625796,0.00220986
0.0727008,0.00346871,-0.00316265
0.0747581,3.66227E-15,-0.00429395
0.0748019,0.00564938,-0.00114167
0.0749249,0.00663391,0.00234106
0.0769424,0.00356403,-0.00341884
0.0790519,3.87482E-15,-0.00454473
0.0790511,0.00597329,-0.00120934
0.0792335,0.00701938,0.00247552
0.0812889,0.00366045,-0.00367972
0.0834522,4.09276E-15,-0.00480191
0.0834237,0.00628226,-0.00131872
0.0836488,0.0074146,0.00261332
0.0857427,0.00375876,-0.00394521
0.0879607,4.31615E-15,-0.00506557
0.0879154,0.00659849,-0.00143265
0.0881732,0.00781975,0.00275453
0.0903064,0.00385869,-0.00421584
0.0925805,4.54513E-15,-0.00533586
0.0926256,0.00691105,-0.00158148
0.0928094,0.00823505,0.00289924
0.0949828,0.00396049,-0.00449177
0.0973144,4.77981E-15,-0.00561292
0.0974039,0.00712964,-0.00187742
0.0975609,0.00866077,0.00304756
0.0997746,0.00406443,-0.00477316
0.102165,5.02028E-15,-0.00589682
0.102294,0.00739127,-0.00211595
0.10243,0.00909708,0.00319955
0.104685,0.00417029,-0.00506039
0.105653,0.00910165,0.000966504
0.107135,5.26669E-15,-0.00618773
0.107271,0.00763052,-0.00238964
0.10742,0.0095442,0.00335531
0.109715,0.00427846,-0.0053535
0.110672,0.00948171,0.000799761
0.112227,5.51912E-15,-0.00648574
0.11238,0.00784352,-0.00270482
0.112533,0.0100023,0.00351492
0.114871,0.00438888,-0.00565276
0.115782,0.00985941,0.000615536
0.117445,5.77771E-15,-0.00679097
0.117585,0.00804932,-0.00302994
0.117773,0.0104717,0.00367847
0.120153,0.00450172,-0.0059583
0.120961,0.0102377,0.000430982
0.122792,6.04257E-15,-0.00710354
0.122912,0.00829694,-0.00331064
0.123143,0.0109524,0.00384607
0.12559,0.00466033,-0.00625225
0.126294,0.0103291,-0.000517213
0.12827,6.31377E-15,-0.0074235
0.128484,0.00858907,-0.00356185
0.128646,0.0114448,0.0040178
0.131123,0.00472859,-0.00659242
0.131904,0.011058,0.0001401
0.133884,6.59145E-15,-0.00775102
0.134055,0.0087699,-0.00393223
0.134285,0.011949,0.00419375
0.1368,0.00485212,-0.00691592
0.13756,0.0113183,-0.000415406
0.139636,6.87574E-15,-0.00808618
0.139785,0.00902958,-0.00422602
0.140064,0.0124651,0.00437403
0.14262,0.00497718,-0.00724702
0.143097,0.0118362,-0.000283081
0.145531,7.16669E-15,-0.00842902
0.145666,0.00929062,-0.0045292
0.145986,0.0129935,0.00455873
0.148585,0.00510418,-0.00758552
0.148913,0.0122636,-0.000429448
0.15157,7.46438E-15,-0.00877959
0.151697,0.00955419,-0.00484018
0.152054,0.0135341,0.00474796
0.154698,0.00523361,-0.00793124
0.154945,0.0126813,-0.000635717
0.157757,7.76888E-15,-0.00913793
0.157881,0.00982132,-0.00515782
0.158273,0.0140873,0.00494182
0.160961,0.00536556,-0.0082842
0.161165,0.0130976,-0.000870863
0.164097,8.0803E-15,-0.00950412
0.164218,0.0100926,-0.00548158
0.164645,0.0146531,0.00514041
0.167379,0.00550045,-0.00864432
0.167557,0.0135161,-0.00112169
