Points:0,Points:1,Points:2
4.34492E-07,0,7.36763E-06
0.00244867,-3.29281E-15,0.000295229
0.00246081,0.000214715,8.38022E-05
0.00495865,-6.67267E-15,0.000590646
0.00498198,0.000435022,0.000162144
0.00752989,-1.01395E-14,0.000893578
0.00756529,0.000661055,0.000242435
0.0101638,-1.36953E-14,0.0012042
0.0102119,0.000892931,0.000324714
0.0128623,-1.73431E-14,0.00152276
0.0129237,0.00113082,0.000409037
0.0156267,-2.10847E-14,0.00184943
0.0157019,0.00137485,0.000495445
0.0184591,-2.4923E-14,0.00218444
0.0185484,0.0016252,0.000584
0.0213605,-2.88597E-14,0.00252796
0.0214653,0.00188206,0.000674764
0.024333,-3.28979E-14,0.00288024
0.024454,0.00214557,0.000767783
0.0273784,-3.70402E-14,0.0032415
0.0275164,0.0024159,0.000863115
0.0285249,0.00206442,0.00229539
0.0304986,-4.12894E-14,0.00361198
0.0306538,0.0026932,0.000960807
0.031728,0.00221577,0.00266628
0.0336956,-4.5648E-14,0.00399191
0.0338686,0.00297767,0.00106093
0.0350181,0.00236869,0.00304158
0.0369709,-5.01186E-14,0.0043815
0.0371625,0.00326948,0.00116353
0.0383986,0.00252395,0.0034232
0.0403269,-5.47044E-14,0.00478104
0.0405378,0.00356883,0.0012687
0.0421795,0.00264325,0.003901
0.0437653,-5.9408E-14,0.00519075
0.0439963,0.0038759,0.00137647
0.0456646,0.00284465,0.00424366
0.0472879,-6.42317E-14,0.00561081
0.0475404,0.0041909,0.00148694
0.0492103,0.00291162,0.00472245
0.0508977,-6.91798E-14,0.00604162
0.0511718,0.00451398,0.00160015
0.0528541,0.00300634,0.00518093
0.054596,-7.42542E-14,0.00648333
0.054893,0.00484538,0.00171617
0.0565917,0.00309937,0.00564834
0.0583854,-7.94581E-14,0.00693623
0.0587061,0.00518527,0.00183509
0.0604237,0.00319167,0.00612466
0.062268,-8.47948E-14,0.00740059
0.0626135,0.00553387,0.00195696
0.0643513,0.00328402,0.00661009
0.0662466,-9.02678E-14,0.00787674
0.0666172,0.00589134,0.00208185
0.0683766,0.00337708,0.00710494
0.0703231,-9.58796E-14,0.00836487
0.0707202,0.00625796,0.00220986
0.0707203,0.00575581,0.00462457
0.0725015,0.00347107,0.00760975
0.0744995,-1.01633E-13,0.00886524
0.0749249,0.00663391,0.00234106
0.0748918,0.00599029,0.00513873
0.0767281,0.00356616,0.00812505
0.0787788,-1.07531E-13,0.00937818
0.0790373,0.00592828,0.00614502
0.0792335,0.00701938,0.00247552
0.0810593,0.00366261,0.00865129
0.0831644,-1.13579E-13,0.00990406
0.0833943,0.00625157,0.00649663
0.0836488,0.0074146,0.00261332
0.0854976,0.00376099,0.00918872
0.0876578,-1.19779E-13,0.0104431
0.0878699,0.00656638,0.00688514
0.0881732,0.00781975,0.00275453
0.0900455,0.003861,0.00973801
0.092262,-1.26134E-13,0.0109955
0.0924619,0.00688866,0.0072847
0.0928094,0.00823505,0.00289924
0.0947057,0.00396291,0.0102995
0.0969795,-1.32646E-13,0.0115617
0.0972519,0.00714294,0.00782368
0.0975609,0.00866077,0.00304756
0.0994811,0.00406666,0.0108737
0.101814,-1.39321E-13,0.0121419
0.102187,0.00737582,0.00841288
0.10243,0.00909708,0.00319955
0.104122,0.00898179,0.00540203
0.104374,0.00417288,0.0114607
0.106767,-1.4616E-13,0.0127364
0.107122,0.00758157,0.00902869
0.10742,0.0095442,0.00335531
0.109106,0.00894377,0.00708628
0.109389,0.0042811,0.0120611
0.111843,-1.53167E-13,0.0133455
0.112214,0.00784675,0.009587
0.112533,0.0100023,0.00351492
0.114383,0.00976647,0.00633849
0.114526,0.00439157,0.0126753
0.117043,-1.60345E-13,0.0139695
0.117396,0.00805454,0.0102266
0.117773,0.0104717,0.00367847
0.119791,0.00450448,0.0133035
0.120966,0.0102529,0.00696645
0.122373,-1.67698E-13,0.0146088
0.122717,0.00829819,0.0108393
0.123143,0.0109524,0.00384607
0.125185,0.00461994,0.0139461
0.126305,0.0106466,0.00746245
0.127833,-1.75227E-13,0.0152635
0.128173,0.00854428,0.0114665
0.128646,0.0114448,0.0040178
0.130713,0.00473804,0.0146035
0.131355,0.0109156,0.00820194
0.133428,-1.82937E-13,0.015934
0.133766,0.00879347,0.0121076
0.134285,0.011949,0.00419375
0.136377,0.00485852,0.0152759
0.137014,0.0113568,0.0086363
0.139161,-1.9083E-13,0.0166205
0.139497,0.00904619,0.0127628
0.140064,0.0124651,0.00437403
0.142181,0.00498195,0.0159637
0.142837,0.011814,0.00907217
0.145036,-1.98908E-13,0.0173234
0.145371,0.00930319,0.0134316
0.145986,0.0129935,0.00455873
0.148128,0.00510816,0.0166671
0.148804,0.0121751,0.00977296
0.151055,-2.07176E-13,0.0180429
0.151391,0.00956458,0.0141144
0.152054,0.0135341,0.00474796
0.154221,0.00523716,0.0173865
0.15481,0.0127382,0.00999795
0.157223,-2.15634E-13,0.0187793
0.157523,0.00984508,0.0147919
0.158273,0.0140873,0.00494182
0.160491,0.00546346,0.0180869
0.160999,0.0131319,0.0106664
0.163541,-2.24284E-13,0.0195326
0.163809,0.010164,0.0154523
0.164645,0.0146531,0.00514041
0.166904,0.00554853,0.0188617
0.167513,0.0136227,0.0111849
0.170015,-2.33129E-13,0.0203032
0.170476,0.0104345,0.0162145
0.171175,0.0152317,0.00534383
0.173436,0.00563106,0.0196497
0.174108,0.0139994,0.0119637
0.176649,-2.42171E-13,0.0210914
0.177051,0.0106328,0.0170239
0.177866,0.0158231,0.00555215
0.180141,0.00577765,0.0204319
0.180749,0.0144123,0.0126588
0.183445,-2.51412E-13,0.0218974
0.183778,0.010949,0.0177428
0.184721,0.0164274,0.0057655
0.187037,0.0060322,0.0211943
0.187583,0.0148234,0.0133874
0.190408,-2.60852E-13,0.0227213
0.190793,0.0113171,0.0184549
0.191746,0.0170448,0.00598401
0.194105,0.00612474,0.0220382
0.194702,0.0153098,0.0140228
0.197541,-2.70492E-13,0.0235632
0.198017,0.0116011,0.0192687
0.198944,0.0176754,0.00620778
0.201303,0.00621445,0.0228957
0.202101,0.0157694,0.0147607
0.204849,-2.80333E-13,0.0244233
0.205246,0.0118188,0.0201343
0.206318,0.0183189,0.00643688
0.208725,0.00643287,0.0237301
0.20938,0.0161358,0.0156265
0.212335,-2.90374E-13,0.0253018
0.21282,0.0122197,0.0208884
0.213874,0.0189756,0.00667143
0.216279,0.00652618,0.0246234
0.217056,0.0167007,0.0162142
0.220004,-3.00616E-13,0.0261986
0.220374,0.0124589,0.0217704
0.221616,0.0196454,0.00691156
0.221773,0.0193824,0.0100928
0.224034,0.00681127,0.025468
0.22467,0.0170816,0.0170954
0.227861,-3.11058E-13,0.0271139
0.228233,0.0128814,0.0225384
0.229547,0.0203281,0.00715736
0.231999,0.00698573,0.0263745
0.232627,0.017628,0.0177555
0.235908,-3.21697E-13,0.0280476
0.236322,0.0132072,0.0234131
0.237672,0.0210237,0.00740892
0.240168,0.00709088,0.0273258
0.24081,0.0181154,0.018547
0.243203,0.0206928,0.0132701
0.244151,-3.32532E-13,0.0289998
0.244654,0.0135325,0.0243156
0.245995,0.021732,0.00766634
0.248486,0.00719208,0.0282909
0.249282,0.0186434,0.0193168
0.252594,-3.43561E-13,0.0299703
0.252971,0.013789,0.0252626
0.254104,0.0218255,0.0129071
0.254521,0.0224528,0.00792973
0.257019,0.00750307,0.0292035
0.257666,0.0190433,0.0202577
0.26124,-3.54777E-13,0.0309589
0.26162,0.014248,0.0260887
0.262202,0.0224457,0.0134842
0.263255,0.0231858,0.00819918
0.265784,0.00769318,0.0301799
0.26631,0.0197161,0.0208126
0.270095,-3.66178E-13,0.0319654
0.270406,0.0146821,0.0269457
0.271343,0.0231409,0.0141244
0.2722,0.0239307,0.0084748
0.274773,0.00780808,0.0312019
0.275232,0.0201769,0.0217323
0.279162,-3.77757E-13,0.0329896
0.279534,0.014952,0.0279678
0.280091,0.0233144,0.0163658
0.281362,0.0246871,0.00875667
0.283924,0.00791692,0.0322371
0.284418,0.0207658,0.0224908
0.288448,-3.89509E-13,0.0340313
0.288736,0.015413,0.028843
0.289629,0.0244822,0.0154957
0.290744,0.0254545,0.00904487
0.293285,0.0082447,0.0332153
0.293823,0.0212862,0.0233759
0.297955,-4.01425E-13,0.0350899
0.298295,0.0158198,0.0297973
0.298907,0.0247368,0.0175179
0.300352,0.0262325,0.00933949
0.302904,0.00844162,0.0342587
0.303466,0.0219276,0.0241083
0.307688,-4.13497E-13,0.036165
0.308027,0.0162079,0.0307773
0.308864,0.0259001,0.0167697
0.310191,0.0270204,0.00964065
0.312752,0.00864243,0.0353174
0.313317,0.0224914,0.0249742
0.317652,-4.25715E-13,0.037256
0.31799,0.0166033,0.0317696
0.31883,0.026605,0.017479
0.320265,0.0278179,0.00994842
0.322832,0.0088472,0.036391
0.323408,0.0230665,0.0258461
0.32785,-4.38075E-13,0.0383628
0.32819,0.0170067,0.0327738
0.329039,0.0273204,0.0181896
0.330579,0.0286245,0.0102629
0.333149,0.00905601,0.0374794
0.33375,0.0236556,0.0267217
0.338288,-4.50573E-13,0.0394852
0.338633,0.0174187,0.0337895
0.33936,0.0277005,0.0199249
0.341137,0.0294402,0.0105841
0.343709,0.00926894,0.0385825
0.344355,0.0242002,0.0276842
0.348971,-4.63208E-13,0.0406232
0.349326,0.0178408,0.0348159
0.350301,0.0287479,0.0197516
0.351945,0.0302646,0.0109123
0.354517,0.00948607,0.0397002
0.35515,0.0247414,0.0286612
0.359903,-4.75974E-13,0.0417767
0.360281,0.0182761,0.0358512
0.361192,0.029424,0.0206604
0.363007,0.0310977,0.0112474
0.365578,0.00970825,0.0408321
0.366264,0.0253441,0.0295832
0.371089,-4.88868E-13,0.0429453
0.37151,0.0186392,0.0369583
0.372407,0.030174,0.0213892
0.374328,0.0319389,0.0115897
0.376898,0.00993598,0.041978
0.377688,0.0259566,0.03052
0.382534,-5.01885E-13,0.0441291
0.382936,0.0189943,0.0380794
0.384064,0.0309555,0.0221015
0.385914,0.0327882,0.0119391
0.388484,0.0101713,0.0431374
0.389191,0.0264629,0.0315908
0.394242,-5.15021E-13,0.0453277
0.394643,0.0194493,0.0391474
0.395649,0.0316199,0.0230974
0.397768,0.0336451,0.0122959
0.400349,0.010417,0.0443098
0.401027,0.0271024,0.0325116
0.406219,-5.28271E-13,0.046541
0.406681,0.0198939,0.0402462
0.407593,0.0324001,0.0238075
0.409897,0.0345094,0.01266
0.412506,0.0105676,0.0455297
0.413189,0.0277422,0.033459
0.417587,0.0337919,0.0220261
0.418467,-5.41628E-13,0.0477686
0.41906,0.0203411,0.0413666
0.422307,0.0353808,0.0130317
0.42487,0.0107008,0.0467622
0.425749,0.0284467,0.0343569
0.430995,-5.55091E-13,0.0490105
0.431419,0.0206771,0.0425462
0.432686,0.0340373,0.0251841
0.435,0.0362587,0.013411
0.43752,0.0111428,0.0479117
0.438234,0.0289303,0.0355113
0.443069,0.0355066,0.0231823
0.443806,-5.68651E-13,0.0502663
0.444289,0.0212859,0.0435755
0.447984,0.0371431,0.0137979
0.450523,0.0113023,0.0491719
0.451234,0.0297054,0.0363349
0.455256,0.0360337,0.0246843
0.456905,-5.82303E-13,0.0515356
0.45745,0.0217197,0.0447428
0.461258,0.038033,0.0141925
0.463722,0.0113999,0.0504552
0.464676,0.0303099,0.0374182
0.470207,-5.9595E-13,0.0528097
0.470717,0.0219897,0.0460171
0.472258,0.0362604,0.0280192
0.474694,0.0389194,0.0145909
0.477027,0.011571,0.0517101
0.478031,0.0306444,0.0388068
0.483599,-6.0947E-13,0.0540774
0.484121,0.0221836,0.0473376
0.485639,0.0367824,0.0294716
0.488216,0.039797,0.0149907
0.490471,0.0116568,0.0529889
0.491474,0.0309768,0.0401734
0.497077,-6.22861E-13,0.0553383
0.497649,0.0223091,0.0486947
0.499048,0.0377763,0.0296871
0.501823,0.0406658,0.015392
0.504016,0.0117174,0.0542685
0.50488,0.0313325,0.0414735
0.510641,-6.36119E-13,0.0565922
0.511189,0.0225655,0.0499453
0.512459,0.0378072,0.032211
