ID,Points:0,Points:1
0,0,0
0.00246081,0.000214715,8.38022E-05
0.00498198,0.000435022,0.000162144
0.00756529,0.000661055,0.000242435
0.0102119,0.000892931,0.000324714
0.0129237,0.00113082,0.000409037
0.0157019,0.00137485,0.000495445
0.0185484,0.0016252,0.000584
0.0214653,0.00188206,0.000674764
0.024454,0.00214557,0.000767783
0.0275164,0.0024159,0.000863115
0.0306538,0.0026932,0.000960807
0.0338686,0.00297767,0.00106093
0.0371625,0.00326948,0.00116353
0.0405378,0.00356883,0.0012687
0.0439963,0.0038759,0.00137647
0.0475404,0.0041909,0.00148694
0.0511718,0.00451398,0.00160015
0.054893,0.00484538,0.00171617
0.0587061,0.00518527,0.00183509
0.0626135,0.00553387,0.00195696
0.0666172,0.00589134,0.00208185
0.0707202,0.00625796,0.00220986
0.0749249,0.00663391,0.00234106
0.0792335,0.00701938,0.00247552
0.0836488,0.0074146,0.00261332
0.0881732,0.00781975,0.00275453
0.0928094,0.00823505,0.00289924
0.0975609,0.00866077,0.00304756
0.10243,0.00909708,0.00319955
0.10742,0.0095442,0.00335531
0.112533,0.0100023,0.00351492
0.117773,0.0104717,0.00367847
0.123143,0.0109524,0.00384607
0.128646,0.0114448,0.0040178
0.134285,0.011949,0.00419375
0.140064,0.0124651,0.00437403
0.145986,0.0129935,0.00455873
0.152054,0.0135341,0.00474796
0.158273,0.0140873,0.00494182
0.164645,0.0146531,0.00514041
0.171175,0.0152317,0.00534383
0.177866,0.0158231,0.00555215
0.184721,0.0164274,0.0057655
0.191746,0.0170448,0.00598401
0.198944,0.0176754,0.00620778
0.206318,0.0183189,0.00643688
0.213874,0.0189756,0.00667143
0.221616,0.0196454,0.00691156
0.229547,0.0203281,0.00715736
0.237672,0.0210237,0.00740892
0.245995,0.021732,0.00766634
0.254521,0.0224528,0.00792973
0.263255,0.0231858,0.00819918
0.2722,0.0239307,0.0084748
0.281362,0.0246871,0.00875667
0.290744,0.0254545,0.00904487
0.300352,0.0262325,0.00933949
0.310191,0.0270204,0.00964065
0.320265,0.0278179,0.00994842
0.330579,0.0286245,0.0102629
0.341137,0.0294402,0.0105841
0.351945,0.0302646,0.0109123
0.363007,0.0310977,0.0112474
0.374328,0.0319389,0.0115897
0.385914,0.0327882,0.0119391
0.397768,0.0336451,0.0122959
0.409897,0.0345094,0.01266
0.422307,0.0353808,0.0130317
0.435,0.0362587,0.013411
0.447984,0.0371431,0.0137979
0.461258,0.038033,0.0141925
0.474694,0.0389194,0.0145909
