ID,Points:0,Points:1
20.1486,0.414507,0.0851529
20.1507,0.414475,0.0843072
20.1533,0.414477,0.0828026
20.1558,0.414428,0.0818186
20.1585,0.414393,0.0805527
20.1614,0.414356,0.0791342
20.1646,0.414314,0.077553
20.1681,0.414265,0.0757949
20.172,0.414207,0.0738435
20.1762,0.414138,0.0716801
20.1808,0.414054,0.0692841
20.187,0.413844,0.0671538
20.1922,0.413817,0.0632198
20.2042,0.413345,0.059273
20.2077,0.413446,0.0538337
20.2192,0.412861,0.051361
20.2364,0.412074,0.0447558
20.2506,0.411482,0.0344716
20.273,0.410196,0.0236433
20.2893,0.409165,0.0240914
20.3071,0.408041,0.0245801
20.3267,0.406814,0.0251141
20.3481,0.405477,0.0256983
20.3718,0.40402,0.0263388
20.3978,0.402437,0.0270417
20.4265,0.400721,0.0278141
20.4582,0.398863,0.0286639
20.4933,0.396853,0.0295994
20.5322,0.39468,0.0306302
20.5754,0.392332,0.0317667
20.623,0.389815,0.0330118
20.6718,0.38732,0.0342752
20.7205,0.384898,0.0355285
20.7692,0.382547,0.0367712
20.818,0.380262,0.0380033
20.8667,0.37804,0.0392246
20.9155,0.375877,0.0404348
20.9642,0.373769,0.0416337
21.013,0.371711,0.0428212
21.0617,0.369701,0.0439972
21.1105,0.367733,0.0451614
21.1593,0.365804,0.0463136
21.208,0.363911,0.0474536
21.2568,0.362048,0.0485815
21.3056,0.360213,0.0496967
21.3543,0.358401,0.0507994
21.4031,0.356611,0.0518891
21.4519,0.354842,0.0529664
21.5006,0.353093,0.0540308
21.5494,0.351364,0.0550827
21.5982,0.349651,0.0561221
21.6469,0.347956,0.0571488
21.6957,0.346278,0.0581629
21.7445,0.344614,0.0591644
21.7933,0.342964,0.0601535
21.842,0.341327,0.0611301
21.8908,0.339703,0.0620941
21.9396,0.33809,0.0630458
21.9884,0.336487,0.063985
22.0371,0.334893,0.0649118
22.0859,0.333307,0.0658263
22.1347,0.331728,0.0667284
22.1835,0.330156,0.0676181
22.2323,0.328589,0.0684955
22.281,0.327026,0.0693607
22.3298,0.325467,0.0702135
22.3786,0.32391,0.0710541
22.4274,0.322354,0.0718825
22.4762,0.320799,0.0726987
22.5249,0.319243,0.0735027
22.5737,0.317686,0.0742944
22.6225,0.316126,0.0750741
22.6713,0.314562,0.0758417
22.7201,0.312994,0.0765972
22.7688,0.311421,0.0773406
22.8176,0.309841,0.078072
22.8664,0.308254,0.0787913
22.9152,0.306659,0.0794986
22.964,0.305057,0.0801939
23.0127,0.30345,0.0808772
23.0615,0.301836,0.0815483
23.1103,0.300218,0.0822076
23.1591,0.298594,0.0828548
23.2079,0.296967,0.0834899
23.2567,0.295337,0.084113
23.3054,0.293704,0.084724
23.3542,0.292068,0.0853229
23.403,0.290431,0.0859098
23.4518,0.288793,0.0864846
23.5005,0.287154,0.0870474
