Points:0,Points:1,Points:2
15.978,0.9005,-0.06089
15.9781,0.9005,-0.0608645
15.9781,0.9005,-0.0608528
15.9798,0.9005,-0.0604023
15.9806,0.9005,-0.0601776
15.9815,0.9005,-0.0599373
15.9831,0.9005,-0.0594846
15.9832,0.9005,-0.0594655
15.9833,0.9005,-0.0594231
15.985,0.9005,-0.0591214
15.9855,0.9005,-0.0590262
15.9868,0.9005,-0.0587839
15.9882,0.9005,-0.0585283
15.9888,0.9005,-0.0584086
15.9899,0.9005,-0.0581811
15.9908,0.9005,-0.0581053
15.9912,0.9005,-0.058036
15.9928,0.9005,-0.0578595
15.9941,0.9005,-0.0576476
15.9947,0.9005,-0.0575764
15.9962,0.9005,-0.0574962
15.997,0.9005,-0.0573518
15.9983,0.9005,-0.0572573
15.999,0.9005,-0.0571572
16,0.9005,-0.0570589
16.001,0.9005,-0.0571572
16.0017,0.9005,-0.0572573
16.003,0.9005,-0.0573518
16.0038,0.9005,-0.0574962
16.0053,0.9005,-0.0575764
16.0059,0.9005,-0.0576476
16.0072,0.9005,-0.0578595
16.0088,0.9005,-0.058036
16.0092,0.9005,-0.0581053
16.0101,0.9005,-0.0581811
16.0112,0.9005,-0.0584086
16.0118,0.9005,-0.0585283
16.0132,0.9005,-0.0587839
16.0145,0.9005,-0.0590262
16.015,0.9005,-0.0591214
16.0167,0.9005,-0.0594231
16.0168,0.9005,-0.0594655
16.0169,0.9005,-0.0594846
16.0185,0.9005,-0.0599373
16.0194,0.9005,-0.0601776
16.0202,0.9005,-0.0604023
16.0219,0.9005,-0.0608528
16.0219,0.9005,-0.0608645
16.022,0.9005,-0.06089
