Points:0,Points:1,Points:2
15.978,0.9005,-0.06089
15.9781,0.9005,-0.0609469
15.9782,0.9005,-0.0610113
15.9794,0.9005,-0.0619306
15.9805,0.9005,-0.0626796
15.9807,0.9005,-0.0628319
15.981,0.9005,-0.0630053
15.982,0.9005,-0.0635758
15.9834,0.9005,-0.0644396
15.9835,0.9005,-0.0644568
15.9835,0.9005,-0.0644823
15.9852,0.9005,-0.0653291
15.9862,0.9005,-0.0658062
15.987,0.9005,-0.0662011
15.9883,0.9005,-0.0668259
15.9889,0.9005,-0.0670585
15.9892,0.9005,-0.0671829
15.9909,0.9005,-0.0678728
15.9928,0.9005,-0.0686686
15.993,0.9005,-0.0687458
15.9932,0.9005,-0.068826
15.9952,0.9005,-0.0694697
15.9965,0.9005,-0.0699257
15.9978,0.9005,-0.0702207
15.9998,0.9005,-0.07096
16,0.9005,-0.0710032
16.0002,0.9005,-0.07096
16.0022,0.9005,-0.0702207
16.0035,0.9005,-0.0699257
16.0048,0.9005,-0.0694697
16.0068,0.9005,-0.068826
16.007,0.9005,-0.0687458
16.0072,0.9005,-0.0686686
16.0091,0.9005,-0.0678728
16.0108,0.9005,-0.0671829
16.0111,0.9005,-0.0670585
16.0117,0.9005,-0.0668259
16.013,0.9005,-0.0662011
16.0138,0.9005,-0.0658062
16.0148,0.9005,-0.0653291
16.0165,0.9005,-0.0644823
16.0165,0.9005,-0.0644568
16.0166,0.9005,-0.0644396
16.018,0.9005,-0.0635758
16.019,0.9005,-0.0630053
16.0193,0.9005,-0.0628319
16.0195,0.9005,-0.0626796
16.0206,0.9005,-0.0619306
16.0218,0.9005,-0.0610113
16.0219,0.9005,-0.0609469
16.022,0.9005,-0.06089
