ID,Points:0,Points:1
11.8533,0.414565,0.0856894
11.8551,0.414768,0.0847295
11.8569,0.414978,0.0837325
11.8588,0.415195,0.0826973
11.8608,0.41542,0.0816233
11.8629,0.415652,0.0805107
11.8651,0.415892,0.0793597
11.8673,0.416139,0.0781708
11.8697,0.416394,0.0769452
11.8722,0.416656,0.0756848
11.8748,0.416926,0.0743915
11.8775,0.417202,0.0730685
11.8804,0.417486,0.0717198
11.8834,0.417775,0.0703496
11.8865,0.418071,0.0689629
11.8897,0.418373,0.0675645
11.8931,0.41868,0.0661609
11.8966,0.418992,0.064758
11.9002,0.419308,0.0633631
11.904,0.419629,0.0619823
11.9079,0.419952,0.0606194
11.912,0.420279,0.0592776
11.9161,0.420609,0.0579589
11.9205,0.420942,0.0566651
11.9249,0.421277,0.0553968
11.9295,0.421615,0.0541539
11.9342,0.421956,0.0529352
11.939,0.422298,0.0517388
11.9439,0.422643,0.0505618
11.949,0.422991,0.0494001
11.9541,0.42334,0.0482487
11.9594,0.423693,0.0471021
11.9647,0.424048,0.0459562
11.9702,0.424406,0.0448069
11.9758,0.424766,0.0436492
11.9815,0.42513,0.0424775
11.9873,0.425496,0.0412854
11.9932,0.425865,0.0400702
11.9992,0.426237,0.038832
12.0053,0.426611,0.0375707
12.0116,0.426988,0.0362863
12.018,0.427367,0.0349792
12.0245,0.427748,0.03365
12.0311,0.42813,0.0322989
12.0378,0.428514,0.0309268
12.0447,0.428899,0.0295344
12.0517,0.429285,0.028123
12.0589,0.429672,0.026694
12.0662,0.430058,0.0252489
12.0737,0.430445,0.02379
12.0812,0.430831,0.0223188
12.089,0.431217,0.0208362
12.0969,0.431601,0.0193429
12.1049,0.431984,0.01784
12.1131,0.432364,0.0163278
12.1214,0.432742,0.014806
12.13,0.433117,0.0132744
12.1386,0.433489,0.0117321
12.1474,0.433855,0.0101859
12.1564,0.434216,0.0086263
12.1655,0.434572,0.0070529
12.1748,0.434921,0.00546444
12.1842,0.435264,0.00385883
12.1939,0.435599,0.00223406
12.2037,0.435925,0.000587541
12.2137,0.436241,-0.00108384
12.2239,0.436546,-0.0027833
12.2342,0.436839,-0.00451374
12.2448,0.437121,-0.00627771
12.2556,0.437389,-0.00807796
12.2665,0.437643,-0.00991563
12.2777,0.437882,-0.0117916
12.2891,0.438106,-0.0137065
12.3007,0.438314,-0.0156609
12.3126,0.438504,-0.0176557
12.3247,0.438677,-0.0196911
12.337,0.438831,-0.0217682
12.3496,0.438966,-0.0238875
12.3624,0.43908,-0.0260492
12.3755,0.439173,-0.0282545
12.3888,0.439243,-0.0305036
12.4025,0.43929,-0.0327975
12.4164,0.439313,-0.035138
12.4306,0.43931,-0.0375261
12.4452,0.439279,-0.0399629
12.46,0.439221,-0.0424501
12.4752,0.439133,-0.0449897
12.4906,0.439014,-0.0475829
12.5065,0.438863,-0.0502321
12.5226,0.438678,-0.0529394
12.5392,0.438457,-0.055707
12.5561,0.4382,-0.0585378
12.5734,0.437904,-0.0614346
12.5911,0.437567,-0.0644006
12.6092,0.437188,-0.0674368
12.6277,0.436765,-0.0705451
12.6466,0.436296,-0.073727
12.666,0.43578,-0.0769842
12.6859,0.435216,-0.0803178
12.7062,0.434601,-0.0837301
12.727,0.433934,-0.087222
12.7483,0.433213,-0.0907959
12.7702,0.432437,-0.0944532
12.7926,0.431604,-0.098196
12.8155,0.430713,-0.102025
12.8391,0.429762,-0.105941
12.8632,0.428751,-0.109946
12.8879,0.427679,-0.11404
12.9133,0.426544,-0.118225
12.9394,0.425345,-0.122502
12.9661,0.424084,-0.126871
12.9935,0.422758,-0.131335
13.0216,0.421369,-0.135892
13.0503,0.419921,-0.140525
13.0796,0.418423,-0.145219
13.1095,0.416875,-0.149972
13.14,0.41528,-0.154783
13.171,0.413642,-0.159649
13.2027,0.411964,-0.16457
13.235,0.41025,-0.169543
13.2679,0.408505,-0.174564
13.3014,0.406734,-0.179631
13.3356,0.404942,-0.184742
13.3705,0.403137,-0.189892
13.406,0.401324,-0.19508
13.4422,0.399512,-0.2003
13.4791,0.397708,-0.205551
13.5166,0.395922,-0.210828
13.5549,0.394164,-0.216125
13.5939,0.392444,-0.221438
13.6335,0.390774,-0.226761
13.6739,0.389165,-0.232091
13.7149,0.387632,-0.237421
13.7567,0.386186,-0.242744
13.7992,0.384833,-0.24806
13.8424,0.383576,-0.253368
13.8862,0.382416,-0.258668
13.9307,0.381353,-0.263963
13.976,0.380388,-0.269253
14.0219,0.379522,-0.274539
14.0685,0.378753,-0.279822
14.1157,0.378082,-0.285104
14.1636,0.377509,-0.290385
14.2121,0.377032,-0.295652
14.2606,0.376653,-0.300856
14.3091,0.376367,-0.305998
14.3576,0.376169,-0.311081
14.4061,0.376052,-0.316109
14.4546,0.376012,-0.321085
14.5032,0.376044,-0.326014
14.5517,0.376141,-0.330898
14.6002,0.376299,-0.335741
14.6488,0.376514,-0.340546
14.6973,0.376779,-0.345315
14.7459,0.37709,-0.350052
14.7944,0.377441,-0.35476
