Point ID,Points:0,Points:1,Points:2
5914,11.8533,-0.414565,0.0856894
540,11.8659,-0.415989,0.0788921
5767,11.869,-0.41746,0.0848787
541,11.8737,-0.41746,0.0787818
2995,11.8757,-0.417012,0.0739803
2994,11.8763,-0.41746,0.0758109
2996,11.8776,-0.41721,0.0730335
2992,11.879,-0.41746,0.0729788
2993,11.8802,-0.417463,0.0718248
2989,11.8836,-0.417798,0.0702411
2987,11.8895,-0.418359,0.067627
2985,11.8919,-0.418577,0.0666317
2983,11.8955,-0.4189,0.0651706
5774,11.8964,-0.422497,0.0834682
2981,11.8993,-0.419234,0.0636865
2979,11.9015,-0.419421,0.0628755
5773,11.9029,-0.42369,0.0831344
2977,11.9045,-0.419674,0.0617886
2975,11.9078,-0.419941,0.0606673
2973,11.9106,-0.42017,0.0597213
2971,11.9136,-0.420413,0.0587394
2969,11.9159,-0.420589,0.0580376
2967,11.9198,-0.420888,0.0568736
2965,11.9228,-0.421121,0.0559831
2963,11.9259,-0.421351,0.0551232
2961,11.929,-0.421579,0.0542846
2959,11.9321,-0.421804,0.0534735
5771,11.9325,-0.429138,0.0816087
2857,11.9352,-0.422028,0.0526813
542,11.9366,-0.429138,0.0765435
2860,11.9383,-0.42225,0.0519068
2997,11.9392,-0.429138,0.0736532
2862,11.9403,-0.422387,0.0514318
2991,11.9419,-0.429138,0.0709006
2864,11.9445,-0.422683,0.0504265
2988,11.9448,-0.429138,0.0682968
2866,11.9476,-0.422897,0.0497113
2986,11.9477,-0.429138,0.065845
2984,11.9493,-0.429138,0.0646759
2868,11.9507,-0.423109,0.0490076
2982,11.9508,-0.429138,0.0635444
2980,11.9524,-0.429138,0.0624504
2978,11.954,-0.429138,0.0613936
5770,11.9546,-0.433205,0.0804701
2976,11.9557,-0.429138,0.0603729
2870,11.9569,-0.42353,0.047629
2974,11.9574,-0.429138,0.0593868
2972,11.9591,-0.429138,0.0584336
2970,11.9608,-0.429138,0.0575117
2968,11.9626,-0.429138,0.0566196
2966,11.9644,-0.429138,0.0557558
2964,11.9662,-0.429138,0.0549185
2962,11.968,-0.429138,0.0541062
2960,11.9699,-0.429138,0.0533174
5769,11.9704,-0.436103,0.0796585
2859,11.9718,-0.429138,0.0525505
2858,11.9737,-0.429138,0.0518038
2861,11.9756,-0.429138,0.0510758
2863,11.9775,-0.429138,0.0503649
2865,11.9794,-0.429138,0.0496696
2867,11.9814,-0.429138,0.0489881
2869,11.9833,-0.429138,0.0483191
2871,11.9873,-0.429138,0.0470118
2873,11.9913,-0.429138,0.0457381
5768,11.9932,-0.440309,0.078481
5709,11.996,-0.440817,0.0783387
2877,11.9981,-0.426173,0.0390471
2875,11.9993,-0.429138,0.043266
543,11.9994,-0.440817,0.0743051
2381,12.0021,-0.440817,0.0714956
2382,12.0049,-0.440817,0.0688225
2384,12.0093,-0.440817,0.0650912
2387,12.0123,-0.440817,0.0627915
5708,12.0131,-0.443955,0.07746
2880,12.0152,-0.429138,0.038469
2326,12.0155,-0.440817,0.06064
2372,12.0188,-0.440817,0.0586337
2359,12.0222,-0.440817,0.0567623
2362,12.0257,-0.440817,0.0550134
2366,12.0294,-0.440817,0.0533741
2350,12.0312,-0.440817,0.0525916
2345,12.0331,-0.440817,0.0518319
2332,12.0368,-0.440817,0.050374
2958,12.0377,-0.428506,0.0309565
5919,12.0389,-0.448689,0.0761345
2998,12.0407,-0.440817,0.0489879
2336,12.0426,-0.440817,0.0483178
2878,12.0442,-0.428869,0.0296421
2999,12.0445,-0.440817,0.0476608
2879,12.0469,-0.429138,0.0292742
2320,12.0504,-0.440817,0.0457534
2881,12.053,-0.429351,0.027882
2317,12.0544,-0.440817,0.0445222
5918,12.0566,-0.451943,0.0752233
5711,12.0596,-0.452496,0.0750687
2957,12.0611,-0.42979,0.0262529
2318,12.0624,-0.440817,0.0421281
568,12.0623,-0.452496,0.0720668
2328,12.0628,-0.446656,0.0518343
2344,12.0646,-0.446656,0.0510891
2380,12.065,-0.452496,0.0693379
2882,12.0671,-0.430106,0.0250692
2347,12.0665,-0.446656,0.0503645
2395,12.0679,-0.452496,0.0667444
2337,12.0703,-0.446656,0.0489713
2398,12.0708,-0.452496,0.0642977
5710,12.0719,-0.454752,0.0744369
2383,12.0723,-0.452496,0.0631305
2393,12.0738,-0.452496,0.0620005
2312,12.0742,-0.446656,0.0476419
2386,12.0754,-0.452496,0.0609072
2390,12.077,-0.452496,0.0598503
2291,12.0783,-0.440817,0.0374712
2311,12.0781,-0.446656,0.0463637
2378,12.0802,-0.452496,0.0578448
2375,12.0836,-0.452496,0.055977
2956,12.0872,-0.431128,0.0211792
2369,12.0871,-0.452496,0.054235
2361,12.0889,-0.452496,0.0534071
2883,12.0898,-0.431259,0.0206742
2365,12.0907,-0.452496,0.0526058
2330,12.0925,-0.452496,0.0518297
2329,12.0944,-0.452496,0.051077
2349,12.0962,-0.452496,0.0503463
2343,12.1,-0.452496,0.0489443
2338,12.1019,-0.452496,0.0482698
2335,12.1058,-0.452496,0.046966
5921,12.1086,-0.461466,0.0725571
2292,12.1099,-0.440817,0.0285168
2324,12.1097,-0.452496,0.045712
2884,12.1109,-0.432265,0.0167255
2316,12.1176,-0.452496,0.0433062
5920,12.1207,-0.46369,0.0719343
2302,12.1256,-0.440817,0.0242705
2314,12.1255,-0.452496,0.0409903
569,12.1252,-0.464174,0.0698285
2356,12.1259,-0.458335,0.0503197
