Points:0,Points:1,Points:2
11.8533,0.414565,0.0856894
11.8551,0.414768,0.0847295
11.8552,0.414922,0.0856159
11.8569,0.414978,0.0837325
11.8571,0.415279,0.0855424
11.8588,0.415195,0.0826973
11.8591,0.415636,0.0854689
11.8598,0.415549,0.0837765
11.8608,0.41542,0.0816233
11.861,0.415993,0.0853955
11.8618,0.41592,0.0836985
11.8623,0.415791,0.0821665
11.8629,0.415652,0.0805107
11.8629,0.41635,0.085322
11.8637,0.416276,0.0836332
11.8647,0.416184,0.0816858
11.8648,0.416707,0.0852485
11.8651,0.415892,0.0793597
11.8656,0.416632,0.0835843
11.8667,0.416396,0.0805866
11.8667,0.417064,0.085175
11.8673,0.416139,0.0781708
11.8675,0.417015,0.083787
11.8679,0.416837,0.0819725
11.8687,0.416669,0.079885
11.8687,0.417421,0.0851016
11.8695,0.417347,0.0833984
11.8697,0.416394,0.0769452
11.8701,0.417203,0.0816717
11.8706,0.417778,0.0850281
11.8709,0.417055,0.0796179
11.8714,0.416839,0.0776817
11.8714,0.417704,0.0833258
11.8722,0.416656,0.0756848
11.8722,0.417587,0.0814771
11.8725,0.418134,0.0849546
11.8731,0.417446,0.0793852
11.8733,0.41806,0.0832542
11.8742,0.417953,0.0813357
11.8743,0.417298,0.0770894
11.8744,0.418491,0.0848811
11.8748,0.416926,0.0743915
11.8753,0.418417,0.0831845
11.8754,0.417851,0.0792783
11.8763,0.418848,0.0848077
11.8764,0.418335,0.0811715
11.8767,0.41775,0.0771059
11.8772,0.418773,0.0831192
11.8775,0.417202,0.0730685
11.8776,0.418268,0.0791804
11.8782,0.419205,0.0847342
11.8785,0.417768,0.0751216
11.8787,0.418768,0.0810771
11.8791,0.419129,0.0830702
11.8792,0.418243,0.0771349
11.88,0.418747,0.0792653
11.8802,0.419562,0.0846607
11.8804,0.417486,0.0717198
11.8809,0.419512,0.0832728
11.8812,0.4184,0.0758679
11.8813,0.419331,0.0814588
11.8816,0.418093,0.0736227
11.8817,0.418755,0.0773106
11.8821,0.41916,0.079372
11.8821,0.419919,0.0845873
11.8829,0.419844,0.0828843
11.8834,0.417775,0.0703496
11.8833,0.418672,0.075068
11.8835,0.419697,0.0811581
11.884,0.420276,0.0845138
11.8844,0.41844,0.0726446
11.8843,0.419545,0.0791048
11.8849,0.4202,0.0828115
11.885,0.419307,0.0768776
11.8857,0.420081,0.0809633
11.8859,0.420633,0.0844403
11.8861,0.419082,0.0743821
11.8865,0.418071,0.0689629
11.8866,0.419936,0.0788716
11.8868,0.420557,0.0827394
11.8873,0.418825,0.0717427
11.8876,0.419773,0.0766255
11.8877,0.420446,0.0808215
11.8878,0.42099,0.0843668
11.8887,0.420913,0.0826687
11.8888,0.420341,0.078764
11.8888,0.419583,0.0742159
11.8897,0.418373,0.0675645
11.8897,0.421347,0.0842934
11.8898,0.420828,0.0806558
11.89,0.42022,0.0765583
11.8903,0.419376,0.0716736
11.8906,0.421269,0.0826013
11.891,0.420757,0.0786635
11.8915,0.420096,0.0742344
11.8917,0.421704,0.0842199
11.8922,0.419198,0.0690547
11.8921,0.42126,0.080557
11.8925,0.421626,0.0825485
11.8926,0.420712,0.0765794
11.8931,0.41868,0.0661609
11.8931,0.41994,0.0717506
11.8935,0.421232,0.0787153
11.8936,0.422061,0.0841464
11.8942,0.420621,0.0743345
11.8944,0.422014,0.0827716
11.8948,0.421826,0.080971
11.8951,0.42122,0.0767168
11.8955,0.421635,0.0788397
11.8955,0.422418,0.084073
11.8958,0.419733,0.0683734
11.8963,0.420541,0.0717754
11.8966,0.418992,0.064758
11.8964,0.422341,0.0823629
11.8969,0.422189,0.0806606
11.897,0.421208,0.0745756
11.8974,0.422775,0.0839995
11.8978,0.422037,0.078567
11.8983,0.422698,0.0822823
11.8988,0.42186,0.0763058
11.899,0.42016,0.0675051
11.899,0.420867,0.070759
11.8991,0.422563,0.0804038
11.8993,0.423132,0.083926
11.8996,0.42154,0.0736546
11.9002,0.419308,0.0633631
11.9001,0.422445,0.0783296
11.9002,0.423057,0.0821961
11.9012,0.422966,0.0803259
11.9013,0.423489,0.0838526
11.9014,0.422303,0.0760498
11.9014,0.421639,0.0723269
11.9018,0.421078,0.0692456
11.9019,0.422827,0.0785578
11.9022,0.423424,0.0821446
11.9032,0.420648,0.0662064
11.9032,0.423846,0.0837791
11.9033,0.422838,0.077056
11.9034,0.422412,0.0743864
11.9034,0.423375,0.0802905
11.904,0.419629,0.0619823
11.9042,0.423784,0.0820463
11.9043,0.422065,0.0716697
11.905,0.423476,0.078894
11.9051,0.424203,0.0837056
11.9054,0.421657,0.0687371
11.9053,0.423104,0.0762978
11.9055,0.423797,0.080341
11.9063,0.422854,0.0738492
11.9062,0.424197,0.0821668
11.9066,0.42114,0.0655673
11.907,0.423731,0.0781867
11.907,0.42456,0.0836321
11.9073,0.422538,0.0711942
11.9079,0.419952,0.0606194
11.9078,0.423535,0.0759816
11.9081,0.424523,0.0819596
11.9083,0.424268,0.0799513
11.9085,0.422169,0.0683117
