Point ID,Points:0,Points:1,Points:2
3484,11.8533,-0.414565,0.0856894
3483,11.8565,-0.414627,0.0868322
3486,11.8576,-0.414651,0.0871986
3482,11.8604,-0.414716,0.0881355
3481,11.8619,-0.414752,0.0885951
3479,11.864,-0.414806,0.0892181
3478,11.8664,-0.41487,0.0898641
3477,11.8675,-0.414902,0.0901546
3485,11.8682,-0.41733,0.0851201
3487,11.8687,-0.414937,0.0904454
3498,11.8689,-0.41746,0.0850935
3488,11.871,-0.41501,0.0909843
3476,11.871,-0.41501,0.0909863
3135,11.8719,-0.41733,0.0866304
3475,11.8722,-0.415049,0.0912446
3474,11.8734,-0.41509,0.0914909
3472,11.8746,-0.415132,0.0917248
3471,11.8748,-0.415139,0.0917618
3470,11.8771,-0.415222,0.0921662
3480,11.8777,-0.41733,0.0886923
3469,11.8783,-0.415269,0.0923695
3468,11.8792,-0.415304,0.0925085
3138,11.8796,-0.41733,0.0893174
3467,11.8808,-0.41537,0.0927486
3140,11.8815,-0.41733,0.089908
3466,11.8821,-0.415423,0.0929235
3142,11.8825,-0.41733,0.0901898
3465,11.8834,-0.415477,0.093088
3144,11.8835,-0.41733,0.0904623
3464,11.884,-0.415501,0.0931574
3146,11.8844,-0.41733,0.0907251
3148,11.8854,-0.41733,0.0909781
3463,11.886,-0.41559,0.0933935
3473,11.8864,-0.41733,0.0912212
3462,11.8874,-0.415649,0.0935326
3151,11.8874,-0.41733,0.0914542
3153,11.8884,-0.41733,0.0916773
3461,11.8887,-0.415709,0.0936626
3155,11.8894,-0.41733,0.0918907
3460,11.8898,-0.41576,0.0937635
3157,11.8904,-0.41733,0.0920946
3159,11.8914,-0.41733,0.0922893
3459,11.8914,-0.415834,0.0939003
3161,11.8924,-0.41733,0.092475
3458,11.8928,-0.415899,0.0940078
3163,11.8934,-0.41733,0.092652
3457,11.8942,-0.415965,0.0941074
3165,11.8944,-0.41733,0.0928203
3167,11.8954,-0.41733,0.0929803
3456,11.8955,-0.416031,0.0941994
3169,11.8964,-0.41733,0.0931322
3455,11.8969,-0.416099,0.0942842
3454,11.8972,-0.416114,0.0943018
3171,11.8974,-0.41733,0.0932762
3173,11.8984,-0.41733,0.0934126
3134,11.8987,-0.423015,0.08395
3175,11.8994,-0.41733,0.0935415
3453,11.8997,-0.41624,0.0944365
3177,11.9005,-0.41733,0.0936632
3452,11.9012,-0.416311,0.0945029
3179,11.9015,-0.41733,0.0937778
3181,11.9025,-0.41733,0.0938857
3451,11.9026,-0.416384,0.094563
3133,11.9025,-0.423015,0.0854288
3183,11.9035,-0.41733,0.0939871
3450,11.904,-0.416457,0.0946172
3217,11.9044,-0.423015,0.0861302
3185,11.9045,-0.41733,0.0940821
3449,11.9054,-0.416531,0.0946658
3187,11.9056,-0.41733,0.0941711
3221,11.9063,-0.423015,0.0868036
3189,11.9066,-0.41733,0.0942541
3448,11.9071,-0.416617,0.0947151
3191,11.9076,-0.41733,0.0943315
3447,11.9083,-0.416682,0.094748
3136,11.9082,-0.423015,0.0874471
3193,11.9087,-0.41733,0.0944035
3195,11.9097,-0.41733,0.0944702
3445,11.9098,-0.41676,0.0947822
3137,11.9101,-0.423015,0.0880587
3197,11.9107,-0.41733,0.094532
3444,11.9112,-0.416838,0.0948116
3199,11.9118,-0.41733,0.094589
3139,11.9121,-0.423015,0.0886365
3443,11.9127,-0.416917,0.0948366
3141,11.913,-0.423015,0.0889121
3442,11.9142,-0.416996,0.0948574
3143,11.914,-0.423015,0.0891785
3145,11.915,-0.423015,0.0894354
3441,11.9156,-0.417075,0.0948744
3147,11.916,-0.423015,0.0896827
3439,11.9171,-0.417155,0.0948877
3149,11.917,-0.423015,0.0899203
3440,11.918,-0.41733,0.0948436
3150,11.9179,-0.423015,0.0901479
3152,11.9189,-0.423015,0.0903658
3202,11.92,-0.417316,0.0949046
3154,11.9199,-0.423015,0.0905742
3438,11.9202,-0.417326,0.0949053
3156,11.9209,-0.423015,0.0907734
3158,11.9219,-0.423015,0.0909634
3160,11.9229,-0.423015,0.0911446
3162,11.9239,-0.423015,0.0913172
3164,11.9249,-0.423015,0.0914814
3166,11.9259,-0.423015,0.0916374
3168,11.9269,-0.423015,0.0917854
3170,11.9279,-0.423015,0.0919257
3172,11.9289,-0.423015,0.0920585
3174,11.93,-0.423015,0.0921839
3176,11.931,-0.423015,0.0923023
3178,11.932,-0.423015,0.0924138
3180,11.933,-0.423015,0.0925186
3132,11.933,-0.4287,0.0842272
3182,11.934,-0.423015,0.092617
3184,11.9351,-0.423015,0.0927093
3216,11.9349,-0.4287,0.0849135
3186,11.9361,-0.423015,0.0927955
3220,11.9368,-0.4287,0.0855724
3188,11.9371,-0.423015,0.0928759
3431,11.9378,-0.418298,0.0948319
3190,11.9381,-0.423015,0.0929508
3215,11.9388,-0.4287,0.0862019
3192,11.9392,-0.423015,0.0930204
3194,11.9402,-0.423015,0.0930849
3222,11.9407,-0.4287,0.0868
3196,11.9412,-0.423015,0.0931445
3198,11.9423,-0.423015,0.0931994
3223,11.9426,-0.4287,0.087365
3446,11.9433,-0.423015,0.0932499
3225,11.9436,-0.4287,0.0876343
3314,11.9443,-0.423015,0.0932961
3211,11.9446,-0.4287,0.0878947
3313,11.9454,-0.423015,0.0933383
3212,11.9455,-0.4287,0.0881457
3315,11.9464,-0.423015,0.0933768
3233,11.9465,-0.4287,0.0883874
3287,11.9475,-0.423015,0.0934116
3234,11.9475,-0.4287,0.0886194
3200,11.9485,-0.423015,0.0934431
3231,11.9485,-0.4287,0.0888416
3430,11.9496,-0.418948,0.0947494
3232,11.9495,-0.4287,0.0890544
3201,11.9506,-0.423015,0.093497
3239,11.9505,-0.4287,0.0892578
3240,11.9514,-0.4287,0.0894521
3229,11.9524,-0.4287,0.0896375
3321,11.9527,-0.423015,0.0935401
3230,11.9534,-0.4287,0.0898142
3247,11.9544,-0.4287,0.0899825
3435,11.9548,-0.423015,0.0935742
3429,11.9555,-0.419267,0.0947254
3248,11.9554,-0.4287,0.0901425
3245,11.9564,-0.4287,0.0902945
3318,11.9568,-0.423015,0.0936011
3246,11.9574,-0.4287,0.0904386
3253,11.9585,-0.4287,0.0905752
3328,11.9589,-0.423015,0.0936225
3254,11.9595,-0.4287,0.0907044
3218,11.9598,-0.434385,0.0816098
3206,11.9605,-0.4287,0.0908264
3428,11.9614,-0.419582,0.0947126
3207,11.9615,-0.4287,0.0909414
3292,11.9625,-0.4287,0.0910497
3327,11.9631,-0.423015,0.0936558
3293,11.9635,-0.4287,0.0911515
3210,11.9636,-0.434385,0.0830256
3290,11.9645,-0.4287,0.091247
3427,11.9651,-0.419779,0.0947099
3291,11.9656,-0.4287,0.0913364
3219,11.9655,-0.434385,0.0836969
3297,11.9666,-0.4287,0.0914199
3213,11.9674,-0.434385,0.0843412
3298,11.9676,-0.4287,0.0914978
3288,11.9686,-0.4287,0.0915702
3214,11.9693,-0.434385,0.0849567
3289,11.9697,-0.4287,0.0916374
3306,11.9707,-0.4287,0.0916996
3205,11.9715,-0.423015,0.09373
3224,11.9712,-0.434385,0.0855414
3307,11.9717,-0.4287,0.091757
3426,11.9728,-0.420182,0.0947161
3303,11.9728,-0.4287,0.0918098
3226,11.9732,-0.434385,0.0860934
3227,11.9741,-0.434385,0.0863566
3228,11.9751,-0.434385,0.0866109
3353,11.9756,-0.423015,0.093783
3235,11.9761,-0.434385,0.0868561
3237,11.978,-0.434385,0.0873184
3322,11.979,-0.4287,0.0920427
3238,11.979,-0.434385,0.0875354
3354,11.9798,-0.423015,0.0938463
3241,11.98,-0.434385,0.087743
3319,11.9811,-0.4287,0.0920935
3242,11.981,-0.434385,0.0879414
3243,11.982,-0.434385,0.0881309
3320,11.9831,-0.4287,0.0921338
3244,11.983,-0.434385,0.0883116
3425,11.984,-0.42076,0.09475
3249,11.984,-0.434385,0.0884838
3250,11.985,-0.434385,0.0886478
3251,11.986,-0.434385,0.0888036
3252,11.987,-0.434385,0.0889515
3351,11.9881,-0.423015,0.0939994
3255,11.988,-0.434385,0.0890918
3256,11.989,-0.434385,0.0892247
3257,11.99,-0.434385,0.0893502
3208,11.9903,-0.44007,0.0804398
3258,11.991,-0.434385,0.0894688
3284,11.992,-0.434385,0.0895805
3294,11.993,-0.434385,0.0896856
3295,11.994,-0.434385,0.0897844
3209,11.9941,-0.44007,0.0818241
3296,11.9951,-0.434385,0.0898769
3355,11.9963,-0.423015,0.0941808
3299,11.9961,-0.434385,0.0899635
3263,11.996,-0.44007,0.0824803
3300,11.9971,-0.434385,0.0900443
3261,11.9979,-0.44007,0.08311
3301,11.9981,-0.434385,0.0901196
3302,11.9992,-0.434385,0.0901895
3262,11.9998,-0.44007,0.0837115
3308,12.0002,-0.434385,0.0902543
