Points:0,Points:1,Points:2
12.9983,0.627675,0.0418268
13.0003,0.627852,0.0417599
13.0003,0.627675,0.0420086
13.0022,0.62803,0.041693
13.0023,0.627675,0.0421842
13.0041,0.628208,0.041626
13.0043,0.627675,0.0423521
13.0061,0.628386,0.0415591
13.0063,0.627675,0.0425108
13.008,0.628563,0.0414922
13.0084,0.627675,0.0426588
13.01,0.628741,0.0414253
13.0105,0.627675,0.0427943
13.0119,0.628919,0.0413583
13.0126,0.627675,0.0429156
13.0139,0.629097,0.0412914
13.0148,0.627675,0.0430209
13.0158,0.629274,0.0412245
13.017,0.627675,0.0431091
13.0177,0.629452,0.0411576
13.0192,0.627675,0.0431807
13.0197,0.62963,0.0410906
13.0206,0.628855,0.042172
13.0214,0.627675,0.0432362
13.0216,0.629808,0.0410237
13.0227,0.628993,0.0421639
13.0237,0.627675,0.0432759
13.0236,0.629986,0.0409568
13.0247,0.629027,0.0422575
13.0255,0.630163,0.0408898
13.0259,0.627675,0.0433007
13.0271,0.629282,0.0421361
13.0274,0.630341,0.0408229
13.0282,0.627675,0.0433111
13.0294,0.62935,0.0422074
13.0294,0.630519,0.040756
13.0305,0.627675,0.043308
13.0313,0.630697,0.040689
13.0317,0.629417,0.0422724
13.0329,0.627675,0.0432922
13.0333,0.630874,0.0406221
13.034,0.629481,0.0423311
13.0352,0.627675,0.0432647
13.0352,0.631052,0.0405552
13.0364,0.629541,0.0423832
13.0372,0.63123,0.0404882
13.0376,0.627675,0.0432265
13.0388,0.629597,0.0424282
13.0391,0.631408,0.0404213
13.04,0.627675,0.0431785
13.0399,0.630535,0.0416125
13.041,0.631586,0.0403544
13.0412,0.629648,0.042466
13.0424,0.627675,0.043122
13.0424,0.630729,0.0415651
13.043,0.631763,0.0402874
13.0436,0.629694,0.0424957
13.0445,0.631192,0.0411796
13.0448,0.627675,0.0430579
13.0449,0.631941,0.0402205
13.0461,0.629734,0.0425167
13.0461,0.63093,0.041591
13.0469,0.632119,0.0401536
13.0473,0.627675,0.0429877
13.0479,0.631164,0.0414539
13.0486,0.629751,0.0425373
13.0488,0.632297,0.0400866
13.0498,0.627675,0.0429125
13.0499,0.631339,0.0413921
13.0507,0.632475,0.0400197
13.051,0.629801,0.0425295
13.0518,0.63151,0.0413339
13.0522,0.627675,0.0428338
13.0527,0.632652,0.0399527
13.0531,0.630125,0.0424031
13.0538,0.631708,0.0412491
13.0547,0.627675,0.0427528
13.0546,0.63283,0.0398858
13.0558,0.631874,0.041198
13.0561,0.629844,0.0425017
13.0566,0.633008,0.0398189
13.0573,0.627675,0.042671
13.0577,0.632063,0.0411217
13.0586,0.629854,0.0424732
13.0585,0.633186,0.0397519
13.0598,0.627675,0.04259
13.0597,0.632247,0.0410498
13.0605,0.633364,0.039685
13.0611,0.629893,0.042428
13.0616,0.632428,0.0409804
13.0624,0.627675,0.0425112
13.0624,0.631197,0.041984
